"","f.t.opt","f.extract","f.sec","f.growth","q","q.s"
"Bis",NA,NA,NA,NA,NA,NA
"f.t.opt",1,-0.273963259745368,0.118787953335267,-0.599513276424534,0.791310549401171,0.773169614002989
"f.extract",-0.273963259745368,1,0.0900249405567879,0.193922351152678,-0.17004186239083,-0.0525313010170895
"f.sec",0.118787953335267,0.0900249405567879,1,-0.0715526274687961,0.074882388595701,0.330872486763197
"f.growth",-0.599513276424534,0.193922351152678,-0.0715526274687961,1,-0.0949938511460352,-0.468313493298968
"q",0.791310549401171,-0.17004186239083,0.074882388595701,-0.0949938511460352,1,0.804967651638424
"q.s",0.773169614002989,-0.0525313010170895,0.330872486763197,-0.468313493298968,0.804967651638424,1
"Med",NA,NA,NA,NA,NA,NA
"f.t.opt",1,-0.227660812967869,0.00474797082423865,-0.811949231240757,0.0944740814623084,-0.101699009405272
"f.extract",-0.227660812967869,1,-0.311768306106102,0.289803195476945,-0.244033075622615,0.396303393853105
"f.sec",0.00474797082423865,-0.311768306106102,1,-0.209175797224453,-0.0341283270646413,0.70030367620462
"f.growth",-0.811949231240757,0.289803195476945,-0.209175797224453,1,0.199624918205516,-0.0792616752679951
"q",0.0944740814623084,-0.244033075622615,-0.0341283270646413,0.199624918205516,1,-0.183654392936593
"q.s",-0.101699009405272,0.396303393853105,0.70030367620462,-0.0792616752679951,-0.183654392936593,1
"Dig",NA,NA,NA,NA,NA,NA
"f.t.opt",1,-0.177580925149372,-0.149274401784395,-0.2185979417977,-0.0543903068806964,-0.213413063949145
"f.extract",-0.177580925149372,1,0.113176105080227,-0.0672315125838314,-0.0245758606614302,0.420487858288686
"f.sec",-0.149274401784395,0.113176105080227,1,-0.427187394386631,0.0128668284945617,0.908584411734978
"f.growth",-0.2185979417977,-0.0672315125838314,-0.427187394386631,1,0.241713218653346,-0.540942036601014
"q",-0.0543903068806964,-0.0245758606614302,0.0128668284945617,0.241713218653346,1,0.00836253161935713
"q.s",-0.213413063949145,0.420487858288686,0.908584411734978,-0.540942036601014,0.00836253161935713,1
"The",NA,NA,NA,NA,NA,NA
"f.t.opt",1,-0.11421887828044,-0.050434959661592,-0.0467986885633105,0.217248541498663,-0.0386079989942103
"f.extract",-0.11421887828044,1,0.0620109684377011,-0.158527808817585,-0.188594362545911,0.170856960636467
"f.sec",-0.050434959661592,0.0620109684377011,1,-0.0028194138021818,-0.259607009695416,0.915388417878833
"f.growth",-0.0467986885633105,-0.158527808817585,-0.0028194138021818,1,0.753481944834633,-0.212971393859517
"q",0.217248541498663,-0.188594362545911,-0.259607009695416,0.753481944834633,1,-0.249621215344858
"q.s",-0.0386079989942103,0.170856960636467,0.915388417878833,-0.212971393859517,-0.249621215344858,1
"Chl",NA,NA,NA,NA,NA,NA
"f.t.opt",1,0.00874561580792266,-0.0107877194017209,-0.202078586819897,0.0394230407609653,0.0683912700049421
"f.extract",0.00874561580792266,1,-0.000277226421480782,0.0970902033731694,0.00928881937788409,0.222249661503264
"f.sec",-0.0107877194017209,-0.000277226421480782,1,0.0104152624219265,0.0259212230114611,0.160077171683862
"f.growth",-0.202078586819897,0.0970902033731694,0.0104152624219265,1,0.027256464500355,-0.667702127085941
"q",0.0394230407609653,0.00928881937788409,0.0259212230114611,0.027256464500355,1,0.15666457582743
"q.s",0.0683912700049421,0.222249661503264,0.160077171683862,-0.667702127085941,0.15666457582743,1
"Fes",NA,NA,NA,NA,NA,NA
"f.t.opt",1,-0.0781476383777852,0.402701100153272,-0.306710440082818,0.0190907500471733,0.203761093319325
"f.extract",-0.0781476383777852,1,0.486268521437451,-0.148048317871747,0.046943164633533,0.667162438823327
"f.sec",0.402701100153272,0.486268521437451,1,0.024938003564139,0.097586800739606,0.854932003102907
"f.growth",-0.306710440082818,-0.148048317871747,0.024938003564139,1,0.111513479219672,-0.351263793335919
"q",0.0190907500471733,0.046943164633533,0.097586800739606,0.111513479219672,1,0.0762477824006551
"q.s",0.203761093319325,0.667162438823327,0.854932003102907,-0.351263793335919,0.0762477824006551,1
"Pha",NA,NA,NA,NA,NA,NA
"f.t.opt",1,-0.019869177210345,-0.16773085848741,-0.364050627392647,-0.105734973972666,-0.251132096867438
"f.extract",-0.019869177210345,1,-0.175766207360378,0.448897927439083,-0.274820611082334,-0.293617022513116
"f.sec",-0.16773085848741,-0.175766207360378,1,-0.0540994096833134,0.0202570729838281,0.823767938650171
"f.growth",-0.364050627392647,0.448897927439083,-0.0540994096833134,1,0.617257729645724,-0.211814749668874
"q",-0.105734973972666,-0.274820611082334,0.0202570729838281,0.617257729645724,1,-0.0478502012903126
"q.s",-0.251132096867438,-0.293617022513116,0.823767938650171,-0.211814749668874,-0.0478502012903126,1
"Lol",NA,NA,NA,NA,NA,NA
"f.t.opt",1,-0.0428320080491265,0.0777120219333019,-0.566252099813406,0.190944102816944,0.334559980144901
"f.extract",-0.0428320080491265,1,0.137896406380471,0.0411270011559528,-0.00477281409572394,0.220464450605107
"f.sec",0.0777120219333019,0.137896406380471,1,-0.517430367050956,-0.804091000191826,0.877390588882002
"f.growth",-0.566252099813406,0.0411270011559528,-0.517430367050956,1,0.486911982506547,-0.722826711574969
"q",0.190944102816944,-0.00477281409572394,-0.804091000191826,0.486911982506547,1,-0.575364901501622
"q.s",0.334559980144901,0.220464450605107,0.877390588882002,-0.722826711574969,-0.575364901501622,1
"YM",NA,NA,NA,NA,NA,NA
"f.t.opt",1,0.0851192310638858,0.048907716729111,-0.00740642146131297,-0.0990002252142037,0.21132848671235
"f.extract",0.0851192310638858,1,-0.122274095169945,-0.059462687774977,0.0500559786731544,0.0979679584065133
"f.sec",0.048907716729111,-0.122274095169945,1,-0.0439552829771177,-0.757505675595154,0.604923384336373
"f.growth",-0.00740642146131297,-0.059462687774977,-0.0439552829771177,1,0.600072439273582,-0.622986600936365
"q",-0.0990002252142037,0.0500559786731544,-0.757505675595154,0.600072439273582,1,-0.701295626274298
"q.s",0.21132848671235,0.0979679584065133,0.604923384336373,-0.622986600936365,-0.701295626274298,1
"FT",NA,NA,NA,NA,NA,NA
"f.t.opt",1,0.10306598494998,-0.0424880629073706,0.508456248935532,0.176276341514229,0.0963421390449214
"f.extract",0.10306598494998,1,0.237605004304266,0.183161995528052,-0.146049535341566,0.237200376001123
"f.sec",-0.0424880629073706,0.237605004304266,1,0.247921742024726,-0.796080360384146,0.892492078867505
"f.growth",0.508456248935532,0.183161995528052,0.247921742024726,1,0.28944612221143,-0.0483127171582219
"q",0.176276341514229,-0.146049535341566,-0.796080360384146,0.28944612221143,1,-0.894714057811998
"q.s",0.0963421390449214,0.237200376001123,0.892492078867505,-0.0483127171582219,-0.894714057811998,1
