,f.t.opt,f.extract,f.sec,f.growth,q,q.s
Bis,,,,,,
f.t.opt,0.01186,-0.00001,0.00022,-0.00011,-0.00485,0.00107
f.extract,-0.00001,0.00001,0.00000,0.00000,0.00001,0.00001
f.sec,0.00022,0.00000,0.00060,0.00000,-0.00243,0.00121
f.growth,-0.00011,0.00000,0.00000,0.00001,0.00191,0.00000
q,-0.00485,0.00001,-0.00243,0.00191,1.21746,0.01271
q.s,0.00107,0.00001,0.00121,0.00000,0.01271,0.00358
Med,,,,,,
f.t.opt,0.04796,-0.01120,0.00078,-0.00218,-0.02788,-0.01510
f.extract,-0.01120,0.06819,-0.00048,0.00109,-0.00845,0.23879
f.sec,0.00078,-0.00048,0.00074,-0.00007,-0.00076,0.02821
f.growth,-0.00218,0.00109,-0.00007,0.00016,0.00369,0.00207
q,-0.02788,-0.00845,-0.00076,0.00369,0.16852,-0.00713
q.s,-0.01510,0.23879,0.02821,0.00207,-0.00713,2.18095
Dig,,,,,,
f.t.opt,0.05028,-0.00859,-0.00313,-0.00030,0.00729,-0.04885
f.extract,-0.00859,0.02795,0.00707,-0.00008,-0.04169,0.13980
f.sec,-0.00313,0.00707,0.00767,-0.00010,-0.02059,0.08988
f.growth,-0.00030,-0.00008,-0.00010,0.00001,0.00109,-0.00154
q,0.00729,-0.04169,-0.02059,0.00109,0.78064,-0.28831
q.s,-0.04885,0.13980,0.08988,-0.00154,-0.28831,1.27724
The,,,,,,
f.t.opt,0.08244,-0.00096,-0.02859,0.00080,-0.27712,-0.40709
f.extract,-0.00096,0.00034,0.00068,-0.00002,0.00307,0.00941
f.sec,-0.02859,0.00068,0.03715,-0.00109,0.22652,0.44226
f.growth,0.00080,-0.00002,-0.00109,0.00006,-0.00568,-0.01834
q,-0.27712,0.00307,0.22652,-0.00568,3.37901,3.21518
q.s,-0.40709,0.00941,0.44226,-0.01834,3.21518,8.07999
Chl,,,,,,
f.t.opt,0.03063,-0.00584,0.00000,-0.00039,-0.00985,0.00611
f.extract,-0.00584,0.01468,-0.00001,0.00017,-0.03221,0.00562
f.sec,0.00000,-0.00001,0.00000,0.00000,0.00006,0.00013
f.growth,-0.00039,0.00017,0.00000,0.00002,0.00264,-0.00027
q,-0.00985,-0.03221,0.00006,0.00264,2.11193,0.13603
q.s,0.00611,0.00562,0.00013,-0.00027,0.13603,0.08551
Fes,,,,,,
f.t.opt,0.01268,-0.00006,0.00054,-0.00017,-0.00002,0.00324
f.extract,-0.00006,0.00014,0.00001,0.00000,-0.00001,0.00018
f.sec,0.00054,0.00001,0.00008,0.00000,-0.00002,0.00051
f.growth,-0.00017,0.00000,0.00000,0.00001,0.00000,-0.00008
q,-0.00002,-0.00001,-0.00002,0.00000,0.00068,-0.00006
q.s,0.00324,0.00018,0.00051,-0.00008,-0.00006,0.00393
Pha,,,,,,
f.t.opt,0.01784,0.00009,-0.00224,-0.00087,-0.12484,-0.05166
f.extract,0.00009,0.00023,-0.00021,0.00001,-0.00202,-0.00389
f.sec,-0.00224,-0.00021,0.00687,0.00026,0.07195,0.08926
f.growth,-0.00087,0.00001,0.00026,0.00012,0.02742,0.00284
q,-0.12484,-0.00202,0.07195,0.02742,7.78283,0.64361
q.s,-0.05166,-0.00389,0.08926,0.00284,0.64361,4.06188
Lol,,,,,,
f.t.opt,0.00304,0.00001,0.00029,-0.00022,0.00007,0.00153
f.extract,0.00001,0.00011,0.00003,-0.00001,0.00000,0.00020
f.sec,0.00029,0.00003,0.00019,-0.00001,0.00003,0.00068
f.growth,-0.00022,-0.00001,-0.00001,0.00004,0.00000,-0.00017
q,0.00007,0.00000,0.00003,0.00000,0.00012,0.00010
q.s,0.00153,0.00020,0.00068,-0.00017,0.00010,0.00311
YM,,,,,,
f.t.opt,5.04589,0.10820,-0.02746,0.03500,0.13440,0.02434
f.extract,0.10820,0.18589,-0.00546,0.00141,0.01711,0.05313
f.sec,-0.02746,-0.00546,0.00539,-0.00162,-0.01587,0.03296
f.growth,0.03500,0.00141,-0.00162,0.00195,0.00976,-0.01805
q,0.13440,0.01711,-0.01587,0.00976,0.07076,-0.11343
q.s,0.02434,0.05313,0.03296,-0.01805,-0.11343,0.38470
FT,,,,,,
f.t.opt,0.14219,-0.00009,0.00007,0.00026,-0.00028,0.00329
f.extract,-0.00009,0.00764,-0.00008,-0.00001,0.00064,-0.00038
f.sec,0.00007,-0.00008,0.00003,0.00000,-0.00023,0.00031
f.growth,0.00026,-0.00001,0.00000,0.00001,0.00009,-0.00013
q,-0.00028,0.00064,-0.00023,0.00009,0.00251,-0.00326
q.s,0.00329,-0.00038,0.00031,-0.00013,-0.00326,0.00469
