"model","site","f.t.opt","f.t.opt.05","f.t.opt.95","f.extract","f.extract.05","f.extract.95","f.sec","f.sec.05","f.sec.95","f.growth","f.growth.05","f.growth.95","q","q.05","q.95","q.s","q.s.05","q.s.95"
"v1.1","Bis",21.5133807248224,21.3462112550566,21.6934589428308,0.201695125088502,0.200121550614669,0.207770823278042,0.268978029364439,0.234920758617959,0.312534315001969,0.0426104536376692,0.0385302694415214,0.0461524526064887,6.85972225238353,4.72249993833575,8.48584032191701,1.61394417315609,1.51397662877869,1.71316115956186
"v1.1","Luc",20.6022979681118,20.5260563081561,21.2804702164145,3.15494749005584,2.67625062748636,3.52100251402812,0.0978950476403229,0.0547217149731275,0.147928946977952,0.12779362912227,0.0968488759621628,0.144041945276543,3.30236216545274,2.68768827411211,4.04981496041183,6.05881665336693,4.19760750864416,9.32640569892352
"v1.1","Dig",26.4730317486765,26.1041279431419,26.8345331685902,3.00169193409442,2.72656464545812,3.26810622028407,0.326774799139324,0.173718112368847,0.475844451124589,0.0629385137141872,0.0578003347793217,0.0682889912322847,14.1856264739932,12.2103320931264,14.9392021797311,6.27588909085632,4.1907192115319,8.16508860370274
"v1.1","Kan",24.667722750117,24.2435216327289,25.1965583398087,0.214592095321747,0.20108929109175,0.25704866909115,0.278497280385375,0.0102601456742438,0.490893814828393,0.0623754169599073,0.0577223071444334,0.0800748381055415,13.7129176059542,9.45848799386599,14.9039513716201,4.97631585325228,0.124103712725556,7.44426968644347
"v1.1","Rho",26.7266093920552,26.4641433558621,27.031346341851,4.51332103424549,4.29895760636994,4.68379736686567,0.0106004977025193,0.0100466518764292,0.0122943948594302,0.0990488674586827,0.0924802861486049,0.106626040731645,11.5272941540883,9.48555569362381,14.3059362419381,2.18057675841702,1.75727500281021,2.70840442652234
"v1.1","Fes",20.3642301068415,20.2201554690689,20.5733754914066,0.209605006524025,0.200782885974959,0.238442244443371,0.0752037793247202,0.0623151292400761,0.0918881827945576,0.0693127590869463,0.0631677337201843,0.0746110794260404,0.129664760810003,0.102831064717809,0.190717804926928,0.53914886903569,0.443224644907659,0.654154917036328
"v1.1","Pha",16.8286331002315,16.6027385616378,17.0038335152485,0.212386651750272,0.200901915696825,0.248957219502356,0.0907083199292867,0.0527698652281214,0.298589845400661,0.0707592363705062,0.0561836638495721,0.0893360373600536,9.1393410888811,5.49436056243216,14.2384098680928,5.98165527320719,3.54667322765724,10.1774815357019
"v1.1","Rye",18.9136278589587,18.8187022704921,18.9930029438571,0.209466747946695,0.200617683264344,0.234103637751005,0.136298386523421,0.120547528718136,0.166674585411145,0.122803830597395,0.113629264925677,0.133431938034179,0.110712101690277,0.100837043623147,0.133626705156632,0.680497775933484,0.600250518281126,0.792382899031977
"v1.1","ym",33.5282011058113,30.4581516284658,37.9816120144645,7.58014989933297,6.61026103756796,7.96435128856746,0.240842940701956,0.115284544566492,0.35806385237609,0.13912646534702,0.101895978777917,0.244175731658841,0.240863652072177,0.113000861376128,0.91527496669019,3.15684215859419,2.08753965349857,4.11020697793674
"v1.1","flux",39.7052265554402,38.8868963545866,39.9805747815113,0.286467233885283,0.20420708462607,0.485482214521601,0.0551589817191793,0.0467278048116887,0.064297133316563,0.0647878538453087,0.0591275688801306,0.0710263875164604,0.590431684240582,0.513218707630095,0.678114358433913,0.683065249564137,0.569658021175541,0.793083142996781
